customer_id,credit_score,credit_score_bins,churn,churn_num,country,gender,age,age_bins,tenure,tenure_bins,balance_owed,number_of_products,credit_card,active_member,salary
15602280,829,Excellent,Yes,1,Germany,Female,27,20-30 Years Old,9,5+ Years,"$112,045.67",1,Yes,Yes,"$119,708.21"
15771573,637,Fair,Yes,1,Germany,Female,39,30-40 Years Old,9,5+ Years,"$137,843.80",1,Yes,Yes,"$117,622.80"
15766205,550,Poor,No,0,Germany,Male,38,30-40 Years Old,2,1-3 Years,"$103,391.38",1,No,Yes,"$90,878.13"
15771873,776,Very Good,No,0,Germany,Female,37,30-40 Years Old,2,1-3 Years,"$103,769.22",2,Yes,No,"$194,099.12"
15616550,698,Good,No,0,Germany,Male,44,40-50 Years Old,10,5+ Years,"$116,363.37",2,Yes,No,"$198,059.16"
15768193,585,Fair,No,0,Germany,Male,36,30-40 Years Old,5,3-5 Years,"$146,050.97",2,No,No,"$86,424.57"
15683553,788,Very Good,No,0,France,Female,33,30-40 Years Old,5,3-5 Years,$0.00,2,No,No,"$116,978.19"
15702298,655,Fair,Yes,1,Germany,Male,41,40-50 Years Old,8,5+ Years,"$125,561.97",1,No,No,"$164,040.94"
15569590,601,Fair,Yes,1,Germany,Male,42,40-50 Years Old,1,0-1 Year,"$98,495.72",1,Yes,No,"$40,014.76"
15760861,619,Fair,No,0,France,Male,43,40-50 Years Old,1,0-1 Year,"$125,211.92",1,Yes,Yes,"$113,410.49"
15630053,656,Fair,No,0,France,Male,45,40-50 Years Old,5,3-5 Years,"$127,864.40",1,Yes,No,"$87,107.57"
15647091,725,Good,No,0,Germany,Male,19,0-20 Years Old,0,0-1 Year,"$75,888.20",1,No,No,"$45,613.75"
15623944,511,Poor,Yes,1,Spain,Female,66,60+ Years Old,4,3-5 Years,$0.00,1,Yes,No,"$1,643.11"
15804771,614,Fair,No,0,France,Male,51,50-60 Years Old,4,3-5 Years,"$40,685.92",1,Yes,Yes,"$46,775.28"
15651280,742,Very Good,No,0,Germany,Male,35,30-40 Years Old,5,3-5 Years,"$136,857.00",1,No,No,"$84,509.57"
15773469,687,Good,No,0,Germany,Female,27,20-30 Years Old,9,5+ Years,"$152,328.88",2,No,No,"$126,494.82"
15702014,555,Poor,No,0,Spain,Male,33,30-40 Years Old,1,0-1 Year,"$56,084.69",2,No,No,"$178,798.13"
15751208,684,Good,No,0,Spain,Male,56,50-60 Years Old,8,5+ Years,"$78,707.16",1,Yes,Yes,"$99,398.36"
15592461,603,Fair,No,0,Germany,Male,26,20-30 Years Old,4,3-5 Years,"$109,166.37",1,Yes,Yes,"$92,840.67"
15789484,751,Very Good,No,0,Germany,Female,36,30-40 Years Old,6,5+ Years,"$169,831.46",2,Yes,Yes,"$27,758.36"
15696061,581,Fair,No,0,Germany,Female,34,30-40 Years Old,1,0-1 Year,"$101,633.04",1,Yes,No,"$110,431.51"
15641582,735,Good,No,0,Germany,Male,43,40-50 Years Old,10,5+ Years,"$123,180.01",2,Yes,Yes,"$196,673.28"
15638424,661,Fair,No,0,Germany,Female,35,30-40 Years Old,5,3-5 Years,"$150,725.53",2,No,Yes,"$113,656.85"
15755648,675,Good,No,0,France,Female,21,20-30 Years Old,8,5+ Years,"$98,373.26",1,Yes,No,"$18,203.00"
15703793,738,Good,Yes,1,Germany,Male,58,50-60 Years Old,2,1-3 Years,"$133,745.44",4,Yes,No,"$28,373.86"
15620344,813,Excellent,No,0,France,Male,29,20-30 Years Old,6,5+ Years,$0.00,1,Yes,No,"$33,953.87"
15812518,657,Fair,No,0,Spain,Female,37,30-40 Years Old,0,0-1 Year,"$163,607.18",1,No,Yes,"$44,203.55"
15779052,604,Fair,No,0,Germany,Female,25,20-30 Years Old,5,3-5 Years,"$157,780.84",2,Yes,Yes,"$58,426.81"
15770811,519,Poor,No,0,France,Male,36,30-40 Years Old,9,5+ Years,$0.00,2,No,Yes,"$145,562.40"
15780961,735,Good,No,0,France,Female,21,20-30 Years Old,1,0-1 Year,"$178,718.19",2,Yes,No,"$22,388.00"
15614049,664,Fair,No,0,France,Male,55,50-60 Years Old,8,5+ Years,$0.00,2,Yes,Yes,"$139,161.64"
15662085,678,Good,No,0,France,Female,32,30-40 Years Old,9,5+ Years,$0.00,1,Yes,Yes,"$148,210.64"
15575185,757,Very Good,No,0,Spain,Male,33,30-40 Years Old,5,3-5 Years,"$77,253.22",1,No,Yes,"$194,239.63"
15803136,416,Poor,No,0,Germany,Female,41,40-50 Years Old,10,5+ Years,"$122,189.66",2,Yes,No,"$98,301.61"
15706021,665,Fair,No,0,France,Female,34,30-40 Years Old,1,0-1 Year,"$96,645.54",2,No,No,"$171,413.66"
15663706,777,Very Good,Yes,1,France,Female,32,30-40 Years Old,2,1-3 Years,$0.00,1,Yes,No,"$136,458.19"
15641732,543,Poor,No,0,France,Female,36,30-40 Years Old,3,1-3 Years,$0.00,2,No,No,"$26,019.59"
15701164,506,Poor,No,0,France,Female,34,30-40 Years Old,4,3-5 Years,"$90,307.62",1,Yes,Yes,"$159,235.29"
15738751,493,Poor,No,0,France,Female,46,40-50 Years Old,4,3-5 Years,$0.00,2,Yes,No,"$1,907.66"
15805254,652,Fair,No,0,Spain,Female,75,60+ Years Old,10,5+ Years,$0.00,2,Yes,Yes,"$114,675.75"
15762418,750,Very Good,Yes,1,Spain,Male,22,20-30 Years Old,3,1-3 Years,"$121,681.82",1,Yes,No,"$128,643.35"
15625759,729,Good,No,0,France,Male,30,20-30 Years Old,9,5+ Years,$0.00,2,Yes,No,"$151,869.35"
15622897,646,Fair,Yes,1,France,Female,46,40-50 Years Old,4,3-5 Years,$0.00,3,Yes,No,"$93,251.42"
15767954,635,Fair,No,0,Germany,Female,28,20-30 Years Old,3,1-3 Years,"$81,623.67",2,Yes,Yes,"$156,791.36"
15757535,647,Fair,Yes,1,Spain,Female,44,40-50 Years Old,5,3-5 Years,$0.00,3,Yes,Yes,"$174,205.22"
15731511,808,Excellent,No,0,France,Male,45,40-50 Years Old,7,5+ Years,"$118,626.55",2,Yes,No,"$147,132.46"
15809248,524,Poor,No,0,France,Female,36,30-40 Years Old,10,5+ Years,$0.00,2,Yes,No,"$109,614.57"
15640635,769,Very Good,No,0,France,Male,29,20-30 Years Old,8,5+ Years,$0.00,2,Yes,Yes,"$172,290.61"
15676966,730,Good,No,0,Spain,Male,42,40-50 Years Old,4,3-5 Years,$0.00,2,No,Yes,"$85,982.47"
15699461,515,Poor,No,0,Spain,Male,35,30-40 Years Old,10,5+ Years,"$176,273.95",1,No,Yes,"$121,277.78"
15738721,773,Very Good,No,0,Spain,Male,41,40-50 Years Old,9,5+ Years,"$102,827.44",1,No,Yes,"$64,595.25"
15693683,814,Excellent,No,0,Germany,Male,29,20-30 Years Old,8,5+ Years,"$97,086.40",2,Yes,Yes,"$197,276.13"
15604348,710,Good,No,0,Spain,Male,22,20-30 Years Old,8,5+ Years,$0.00,2,No,No,"$99,645.04"
15633059,413,Poor,No,0,France,Male,34,30-40 Years Old,9,5+ Years,$0.00,2,No,No,"$6,534.18"
15808582,665,Fair,No,0,France,Female,40,30-40 Years Old,6,5+ Years,$0.00,1,Yes,Yes,"$161,848.03"
15743192,623,Fair,No,0,France,Female,44,40-50 Years Old,6,5+ Years,$0.00,2,No,No,"$167,162.43"
15580146,738,Good,No,0,France,Male,31,30-40 Years Old,9,5+ Years,"$82,674.15",1,Yes,No,"$41,970.72"
15776605,528,Poor,No,0,Spain,Male,36,30-40 Years Old,7,5+ Years,$0.00,2,Yes,No,"$60,536.56"
15804919,670,Good,Yes,1,Spain,Female,65,60+ Years Old,1,0-1 Year,$0.00,1,Yes,Yes,"$177,655.68"
15613854,622,Fair,Yes,1,Spain,Female,46,40-50 Years Old,4,3-5 Years,"$107,073.27",2,Yes,Yes,"$30,984.59"
15599195,582,Fair,No,0,Germany,Male,32,30-40 Years Old,1,0-1 Year,"$88,938.62",1,Yes,Yes,"$10,054.53"
15812878,785,Very Good,No,0,Germany,Female,36,30-40 Years Old,2,1-3 Years,"$99,806.85",1,No,Yes,"$36,976.52"
15602312,605,Fair,No,0,Spain,Male,33,30-40 Years Old,5,3-5 Years,"$150,092.80",1,No,No,"$71,862.79"
15744689,479,Poor,Yes,1,Germany,Male,35,30-40 Years Old,9,5+ Years,"$92,833.89",1,Yes,No,"$99,449.86"
15803526,685,Good,No,0,Germany,Male,30,20-30 Years Old,3,1-3 Years,"$90,536.81",1,No,Yes,"$63,082.88"
15665790,538,Poor,No,0,Germany,Male,39,30-40 Years Old,7,5+ Years,"$108,055.10",2,Yes,No,"$27,231.26"
15715951,562,Poor,No,0,France,Male,42,40-50 Years Old,2,1-3 Years,"$100,238.35",1,No,No,"$86,797.41"
15591100,675,Good,No,0,Spain,Male,36,30-40 Years Old,9,5+ Years,"$106,190.55",1,No,Yes,"$22,994.32"
15609618,721,Good,Yes,1,Germany,Male,28,20-30 Years Old,9,5+ Years,"$154,475.54",2,No,Yes,"$101,300.94"
15675522,628,Fair,No,0,Germany,Female,30,20-30 Years Old,9,5+ Years,"$132,351.29",2,Yes,Yes,"$74,169.13"
15705512,668,Fair,No,0,Germany,Female,37,30-40 Years Old,6,5+ Years,"$167,864.40",1,Yes,No,"$115,638.29"
15698028,506,Poor,No,0,France,Female,41,40-50 Years Old,1,0-1 Year,$0.00,2,Yes,No,"$31,766.30"
15661670,524,Poor,Yes,1,Germany,Female,31,30-40 Years Old,8,5+ Years,"$107,818.63",1,Yes,No,"$199,725.39"
15600781,699,Good,No,0,Germany,Male,34,30-40 Years Old,4,3-5 Years,"$185,173.81",2,Yes,No,"$120,834.48"
15682472,828,Excellent,No,0,France,Male,34,30-40 Years Old,8,5+ Years,"$129,433.34",2,No,No,"$38,131.77"
15580203,674,Good,No,0,Spain,Male,39,30-40 Years Old,6,5+ Years,"$120,193.42",1,No,No,"$100,130.95"
15690673,656,Fair,No,0,France,Female,39,30-40 Years Old,6,5+ Years,$0.00,2,Yes,No,"$141,069.88"
15760085,684,Good,No,0,Germany,Female,48,40-50 Years Old,10,5+ Years,"$126,384.42",1,Yes,Yes,"$198,129.36"
15779659,625,Fair,No,0,France,Female,28,20-30 Years Old,3,1-3 Years,$0.00,1,No,No,"$183,646.41"
15627360,432,Poor,Yes,1,France,Male,42,40-50 Years Old,9,5+ Years,"$152,603.45",1,Yes,No,"$110,265.24"
15671137,549,Poor,Yes,1,France,Female,52,50-60 Years Old,1,0-1 Year,$0.00,1,No,Yes,"$8,636.05"
15782688,625,Fair,Yes,1,Germany,Male,56,50-60 Years Old,0,0-1 Year,"$148,507.24",1,Yes,No,"$46,824.08"
15575492,828,Excellent,No,0,France,Female,41,40-50 Years Old,7,5+ Years,$0.00,2,Yes,No,"$171,378.77"
15591607,770,Very Good,No,0,France,Male,24,20-30 Years Old,9,5+ Years,"$101,827.07",1,Yes,No,"$167,256.35"
15740404,758,Very Good,No,0,France,Female,34,30-40 Years Old,3,1-3 Years,$0.00,2,Yes,Yes,"$124,226.16"
15718369,795,Very Good,No,0,Germany,Female,33,30-40 Years Old,9,5+ Years,"$130,862.43",1,Yes,Yes,"$114,935.21"
15677871,687,Good,No,0,France,Male,38,30-40 Years Old,9,5+ Years,"$122,570.87",1,Yes,Yes,"$35,608.88"
15642004,686,Good,No,0,France,Male,25,20-30 Years Old,1,0-1 Year,$0.00,2,No,Yes,"$16,459.37"
15712543,789,Very Good,No,0,Germany,Male,39,30-40 Years Old,7,5+ Years,"$124,828.46",2,Yes,Yes,"$124,411.08"
15584518,589,Fair,No,0,Germany,Female,50,40-50 Years Old,5,3-5 Years,"$144,895.05",2,Yes,Yes,"$34,941.23"
15802381,461,Poor,No,0,Germany,Female,34,30-40 Years Old,5,3-5 Years,"$63,663.93",1,No,Yes,"$167,784.28"
15610156,637,Fair,No,0,France,Male,40,30-40 Years Old,2,1-3 Years,"$133,463.10",1,No,Yes,"$93,165.34"
15594408,584,Fair,Yes,1,Spain,Female,48,40-50 Years Old,2,1-3 Years,"$213,146.20",1,Yes,No,"$75,161.25"
15640905,579,Poor,Yes,1,Spain,Female,35,30-40 Years Old,1,0-1 Year,"$129,490.36",2,No,Yes,"$8,590.83"
15698932,756,Very Good,No,0,Germany,Male,44,40-50 Years Old,10,5+ Years,"$137,452.09",1,Yes,No,"$189,543.90"
15724944,663,Fair,No,0,France,Male,34,30-40 Years Old,7,5+ Years,$0.00,2,Yes,Yes,"$180,427.24"
15628145,682,Good,No,0,France,Female,43,40-50 Years Old,5,3-5 Years,"$125,851.93",1,Yes,Yes,"$193,318.33"
15713483,793,Very Good,Yes,1,Spain,Male,52,50-60 Years Old,2,1-3 Years,$0.00,1,Yes,No,"$159,123.82"
15612350,691,Good,Yes,1,France,Female,31,30-40 Years Old,5,3-5 Years,"$40,915.55",1,Yes,No,"$126,213.84"
15800703,485,Poor,No,0,Spain,Female,21,20-30 Years Old,5,3-5 Years,"$113,157.22",1,Yes,Yes,"$54,141.50"
15705707,635,Fair,No,0,Spain,Female,29,20-30 Years Old,8,5+ Years,"$138,296.94",2,Yes,No,"$141,075.51"
15754105,650,Fair,No,0,France,Male,37,30-40 Years Old,5,3-5 Years,"$106,967.18",1,No,No,"$24,495.03"
15703264,735,Good,No,0,France,Male,44,40-50 Years Old,9,5+ Years,"$120,681.63",1,Yes,No,"$74,836.34"
15794413,416,Poor,No,0,France,Male,32,30-40 Years Old,0,0-1 Year,$0.00,2,No,Yes,$878.87
15650237,754,Very Good,No,0,Spain,Female,32,30-40 Years Old,7,5+ Years,$0.00,2,Yes,No,"$89,520.75"
15759618,535,Poor,Yes,1,France,Female,48,40-50 Years Old,9,5+ Years,$0.00,1,Yes,No,"$149,892.79"
15811589,716,Good,No,0,Spain,Male,42,40-50 Years Old,8,5+ Years,$0.00,2,Yes,No,"$180,800.42"
15689044,539,Poor,No,0,France,Male,37,30-40 Years Old,2,1-3 Years,"$127,609.59",1,Yes,No,"$98,646.22"
15709368,614,Fair,No,0,France,Female,43,40-50 Years Old,6,5+ Years,$0.00,2,Yes,Yes,"$109,041.53"
15679145,706,Good,Yes,1,Spain,Male,57,50-60 Years Old,7,5+ Years,$0.00,1,Yes,No,"$17,941.16"
15655007,758,Very Good,No,0,France,Female,33,30-40 Years Old,7,5+ Years,$0.00,2,No,No,"$82,996.47"
15623595,586,Fair,No,0,Spain,Female,28,20-30 Years Old,2,1-3 Years,$0.00,2,Yes,Yes,"$92,067.35"
15589975,646,Fair,No,0,France,Female,73,60+ Years Old,6,5+ Years,"$97,259.25",1,No,Yes,"$104,719.66"
15804017,631,Fair,No,0,Germany,Female,33,30-40 Years Old,4,3-5 Years,"$123,246.70",1,No,No,"$112,687.57"
15692132,717,Good,No,0,Spain,Female,22,20-30 Years Old,6,5+ Years,"$101,060.25",1,No,Yes,"$84,699.56"
15641122,684,Good,No,0,France,Male,30,20-30 Years Old,2,1-3 Years,$0.00,2,Yes,No,"$83,473.82"
15630910,800,Excellent,No,0,France,Female,49,40-50 Years Old,7,5+ Years,"$108,007.36",1,No,No,"$47,125.11"
15680772,721,Good,No,0,Spain,Female,36,30-40 Years Old,2,1-3 Years,$0.00,2,Yes,Yes,"$106,977.80"
15658929,683,Good,Yes,1,Spain,Male,29,20-30 Years Old,0,0-1 Year,"$133,702.89",1,Yes,No,"$55,582.54"
15585388,660,Fair,No,0,Germany,Male,31,30-40 Years Old,9,5+ Years,"$125,189.75",2,Yes,Yes,"$139,874.43"
15724623,704,Good,Yes,1,Germany,Female,24,20-30 Years Old,7,5+ Years,"$113,034.22",1,Yes,No,"$162,503.48"
15588537,615,Fair,No,0,Spain,Female,41,40-50 Years Old,9,5+ Years,"$109,013.23",1,Yes,No,"$196,499.96"
15574692,667,Fair,Yes,1,Spain,Female,39,30-40 Years Old,2,1-3 Years,$0.00,2,Yes,No,"$40,721.24"
15611325,682,Good,No,0,Germany,Male,24,20-30 Years Old,9,5+ Years,"$57,929.81",2,No,No,"$53,134.30"
15587562,484,Poor,No,0,France,Female,29,20-30 Years Old,4,3-5 Years,"$130,114.39",1,Yes,No,"$164,017.89"
15613172,628,Fair,No,0,Germany,Male,27,20-30 Years Old,5,3-5 Years,"$95,826.49",2,Yes,No,"$155,996.96"
15651022,480,Poor,Yes,1,Germany,Male,44,40-50 Years Old,10,5+ Years,"$129,608.57",1,Yes,No,"$5,472.70"
15586310,578,Poor,No,0,France,Male,30,20-30 Years Old,4,3-5 Years,"$169,462.09",1,Yes,No,"$112,187.11"
15625524,512,Poor,No,0,France,Male,40,30-40 Years Old,5,3-5 Years,$0.00,2,Yes,Yes,"$146,457.83"
15755209,484,Poor,No,0,Spain,Female,35,30-40 Years Old,7,5+ Years,"$133,868.21",1,Yes,Yes,"$27,286.10"
15645248,510,Poor,No,0,France,Female,30,20-30 Years Old,0,0-1 Year,$0.00,2,Yes,Yes,"$130,553.47"
15790355,606,Fair,No,0,Germany,Male,36,30-40 Years Old,5,3-5 Years,"$190,479.48",2,No,No,"$179,351.89"
15762615,597,Fair,No,0,Spain,Female,40,30-40 Years Old,8,5+ Years,"$101,993.12",1,No,Yes,"$94,774.12"
15625426,754,Very Good,Yes,1,Germany,Female,55,50-60 Years Old,3,1-3 Years,"$161,608.81",1,Yes,No,"$8,080.85"
15716334,850,Excellent,No,0,Spain,Female,45,40-50 Years Old,2,1-3 Years,"$122,311.21",1,Yes,Yes,"$19,482.50"
15789669,510,Poor,No,0,France,Male,65,60+ Years Old,2,1-3 Years,$0.00,2,Yes,Yes,"$48,071.61"
15621075,778,Very Good,No,0,Germany,Female,45,40-50 Years Old,1,0-1 Year,"$162,150.42",2,Yes,No,"$174,531.27"
15810845,636,Fair,No,0,France,Male,42,40-50 Years Old,2,1-3 Years,$0.00,2,Yes,Yes,"$55,470.78"
15719377,804,Excellent,Yes,1,France,Female,50,40-50 Years Old,4,3-5 Years,$0.00,1,Yes,Yes,"$8,546.87"
15654506,514,Poor,No,0,France,Male,32,30-40 Years Old,8,5+ Years,$0.00,2,Yes,No,"$95,857.18"
15771977,730,Good,No,0,France,Female,39,30-40 Years Old,1,0-1 Year,"$99,010.67",1,Yes,No,"$194,945.80"
15708710,525,Poor,No,0,Spain,Female,37,30-40 Years Old,0,0-1 Year,$0.00,1,No,Yes,"$131,521.72"
15726676,616,Fair,No,0,Spain,Male,30,20-30 Years Old,5,3-5 Years,$0.00,2,No,Yes,"$196,108.51"
15587421,687,Good,No,0,Germany,Female,34,30-40 Years Old,7,5+ Years,"$111,388.18",2,Yes,No,"$148,564.76"
15726931,715,Good,Yes,1,France,Female,41,40-50 Years Old,8,5+ Years,"$56,214.85",2,No,No,"$92,982.61"
15771086,512,Poor,No,0,France,Female,36,30-40 Years Old,3,1-3 Years,"$84,327.77",2,Yes,No,"$17,675.36"
15756850,479,Poor,No,0,France,Male,40,30-40 Years Old,1,0-1 Year,$0.00,2,No,No,"$114,996.43"
15702741,601,Fair,No,0,France,Male,32,30-40 Years Old,8,5+ Years,"$93,012.89",1,Yes,No,"$86,957.42"
15679200,580,Fair,No,0,Spain,Male,29,20-30 Years Old,9,5+ Years,"$61,710.44",2,Yes,No,"$128,077.80"
15594815,807,Excellent,No,0,France,Male,35,30-40 Years Old,3,1-3 Years,"$174,790.15",1,Yes,Yes,$600.36
15635905,616,Fair,No,0,Spain,Female,32,30-40 Years Old,6,5+ Years,$0.00,2,Yes,Yes,"$43,001.46"
15777892,721,Good,No,0,Germany,Male,37,30-40 Years Old,3,1-3 Years,"$107,720.64",1,Yes,Yes,"$158,591.12"
15656176,501,Poor,No,0,France,Male,57,50-60 Years Old,10,5+ Years,$0.00,2,Yes,Yes,"$47,847.19"
15811127,521,Poor,No,0,France,Male,35,30-40 Years Old,6,5+ Years,"$96,423.84",1,Yes,No,"$10,488.44"
15604482,850,Excellent,No,0,Spain,Male,30,20-30 Years Old,2,1-3 Years,"$141,040.01",1,Yes,Yes,"$5,978.20"
15622911,759,Very Good,No,0,France,Male,42,40-50 Years Old,4,3-5 Years,"$105,420.18",1,No,Yes,"$121,409.06"
15600974,516,Poor,Yes,1,Spain,Male,50,40-50 Years Old,5,3-5 Years,$0.00,1,No,Yes,"$146,145.93"
15727868,711,Good,Yes,1,France,Female,38,30-40 Years Old,2,1-3 Years,"$129,022.06",2,Yes,Yes,"$14,374.86"
15627801,512,Poor,No,0,Spain,Male,33,30-40 Years Old,3,1-3 Years,"$176,666.62",1,Yes,No,"$94,670.77"
15773039,550,Poor,No,0,France,Male,37,30-40 Years Old,3,1-3 Years,$0.00,1,Yes,Yes,"$179,670.31"
15755262,608,Fair,Yes,1,Spain,Female,41,40-50 Years Old,3,1-3 Years,"$89,763.84",1,No,No,"$199,304.74"
15679531,618,Fair,No,0,France,Male,34,30-40 Years Old,5,3-5 Years,"$134,954.53",1,Yes,Yes,"$151,954.39"
15684181,643,Fair,Yes,1,France,Male,45,40-50 Years Old,5,3-5 Years,$0.00,1,Yes,No,"$142,513.50"
15612087,671,Good,No,0,France,Male,45,40-50 Years Old,2,1-3 Years,"$106,376.85",1,No,Yes,"$158,264.62"
15752047,689,Good,No,0,Germany,Male,33,30-40 Years Old,2,1-3 Years,"$161,814.64",2,Yes,No,"$169,381.90"
15624592,603,Fair,No,0,France,Male,31,30-40 Years Old,8,5+ Years,$0.00,2,Yes,Yes,"$169,915.02"
15573152,620,Fair,No,0,France,Female,41,40-50 Years Old,9,5+ Years,$0.00,2,No,No,"$88,852.47"
15594917,676,Good,No,0,France,Female,34,30-40 Years Old,1,0-1 Year,"$63,095.01",1,Yes,Yes,"$40,645.81"
15785542,572,Poor,No,0,Germany,Male,26,20-30 Years Old,4,3-5 Years,"$118,287.01",2,No,No,"$60,427.30"
